,frame,tracker_id,x,y,label
133,10,5,1410.5144,684.9497,
134,10,6,1310.1338,132.89027,
135,10,7,812.2877,234.49405,
136,10,8,1126.7876,229.61224,
137,10,10,826.01575,625.9907,
138,10,11,1524.1196,295.10437,
139,10,12,860.71484,517.8219,
140,10,16,466.8153,556.3153,
141,11,1,820.12646,705.7373,
142,11,2,582.2125,882.54486,
143,11,3,727.1322,422.11707,
144,11,4,884.4977,95.927734,
145,11,5,1409.5474,685.31555,
146,11,6,1310.3495,133.42802,
147,11,7,812.82043,234.19867,
148,11,8,1126.8191,229.60794,
149,11,10,826.5928,626.0696,
150,11,11,1524.9155,294.74704,
151,11,12,861.186,517.9952,
152,11,16,467.41174,555.74274,
153,12,1,819.5065,706.7196,
154,12,2,582.14026,883.55536,
155,12,3,727.1614,422.37155,
156,12,4,884.49805,96.725174,
157,12,5,1408.892,685.45105,
158,12,6,1310.7683,134.94972,
159,12,7,812.67566,235.09093,
160,12,8,1126.5098,229.5978,
161,12,10,828.8534,625.718,
162,12,11,1525.1781,296.31015,
163,12,12,861.99304,518.054,
164,12,16,467.20383,555.5476,
165,13,1,819.3026,707.39905,
166,13,2,582.4376,884.5927,
167,13,3,727.4911,423.13504,
168,13,4,884.1666,98.00729,
169,13,5,1407.3464,686.1661,
170,13,6,1310.9263,135.50024,
171,13,7,812.281,236.08537,
172,13,8,1126.407,229.58563,
173,13,10,829.3999,623.5786,
174,13,11,1525.2505,296.5335,
175,13,12,862.2699,518.07074,
176,14,1,818.2451,707.9667,
177,14,2,582.2072,886.647,
178,14,3,726.2691,425.084,
179,14,4,884.7064,99.1437,
180,14,5,1405.8033,687.4304,
181,14,6,1310.9849,137.6807,
182,14,7,812.45953,237.44891,
183,14,8,1126.3816,231.59125,
184,14,10,831.95544,627.02234,
185,14,11,1525.2458,298.6458,
186,14,12,862.673,517.4129,
